"filename", "language", "Log", "C++", "Makefile", "Markdown", "Python", "Shell Script", "comment", "blank", "total"
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/Min_cost_solver/Min-Cost-Network-Flow-Lemon/Makefile", "Makefile", 0, 0, 9, 0, 0, 0, 0, 4, 13
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/Min_cost_solver/Min-Cost-Network-Flow-Lemon/MinC.cpp", "C++", 0, 152, 0, 0, 0, 0, 49, 75, 276
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/Min_cost_solver/Min-Cost-Network-Flow-Lemon/README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 9, 27
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/Makefile", "Makefile", 0, 0, 14, 0, 0, 0, 0, 3, 17
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/README.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 8, 29
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/bp.cpp", "C++", 0, 59, 0, 0, 0, 0, 4, 2, 65
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/bp.h", "C++", 0, 25, 0, 0, 0, 0, 0, 6, 31
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/edge.cpp", "C++", 0, 13, 0, 0, 0, 0, 2, 1, 16
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/edge.h", "C++", 0, 28, 0, 0, 0, 0, 0, 5, 33
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/io.cpp", "C++", 0, 382, 0, 0, 0, 0, 38, 31, 451
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/io.h", "C++", 0, 54, 0, 0, 0, 0, 1, 7, 62
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/main.cpp", "C++", 0, 329, 0, 0, 0, 0, 125, 69, 523
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/maze.cpp", "C++", 0, 729, 0, 0, 0, 0, 135, 68, 932
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/maze.h", "C++", 0, 88, 0, 0, 0, 0, 2, 15, 105
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/node.cpp", "C++", 0, 7, 0, 0, 0, 0, 0, 3, 10
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/node.h", "C++", 0, 30, 0, 0, 0, 0, 2, 8, 40
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/parse.cpp", "C++", 0, 1548, 0, 0, 0, 0, 275, 162, 1985
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/parse.h", "C++", 0, 248, 0, 0, 0, 0, 15, 42, 305
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/r.log", "Log", 337, 0, 0, 0, 0, 0, 0, 1, 338
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/rdlblock.cpp", "C++", 0, 940, 0, 0, 0, 0, 131, 119, 1190
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/rdlblock.h", "C++", 0, 65, 0, 0, 0, 0, 7, 15, 87
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/tile.cpp", "C++", 0, 883, 0, 0, 0, 0, 83, 60, 1026
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/main/src/tile.h", "C++", 0, 144, 0, 0, 0, 0, 4, 23, 171
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/makefile", "Makefile", 0, 0, 21, 0, 0, 0, 3, 15, 39
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/pin-connect/src/Makefile", "Makefile", 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3 -counter/pin-connect/src/data.h", "C++", 0, 89, 0, 0, 0, 0, 0, 11, 100
