Date : 2022-08-16 03:01:43
Directory : /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3
Total : 281 files,  134149 codes, 60492 comments, 30981 blanks, all 225622 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        252 |    126,008 |     60,217 |     30,402 |    216,627 |
| JSON         |          3 |      4,634 |          0 |          0 |      4,634 |
| Log          |          4 |      1,515 |          0 |        142 |      1,657 |
| Python       |          1 |        558 |        147 |         61 |        766 |
| C            |          1 |        507 |         50 |        115 |        672 |
| CMake Cache  |          1 |        311 |          0 |         68 |        379 |
| CMake        |          9 |        300 |          0 |         72 |        372 |
| Makefile     |          6 |        240 |         72 |        101 |        413 |
| Markdown     |          2 |         39 |          0 |         17 |         56 |
| Shell Script |          2 |         37 |          6 |          3 |         46 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                            |        281 |    134,149 |     60,492 |     30,981 |    225,622 |
| Min_cost_solver                                                                                                                                                                              |        131 |     54,419 |     25,532 |     14,027 |     93,978 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon                                                                                                                                                  |        131 |     54,419 |     25,532 |     14,027 |     93,978 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon                                                                                                                                            |        128 |     54,240 |     25,483 |     13,939 |     93,662 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/CMakeFiles                                                                                                                                 |         11 |      1,684 |        102 |        327 |      2,113 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/CMakeFiles/3.16.5                                                                                                                          |          5 |      1,143 |        102 |        270 |      1,515 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/CMakeFiles/3.16.5/CompilerIdC                                                                                                              |          1 |        507 |         50 |        115 |        672 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/CMakeFiles/3.16.5/CompilerIdCXX                                                                                                            |          1 |        496 |         52 |        113 |        661 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/CMakeFiles/lemon.dir                                                                                                                       |          3 |         42 |          0 |          7 |         49 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/bits                                                                                                                                       |         17 |      3,581 |      1,009 |      1,201 |      5,791 |
| Min_cost_solver/Min-Cost-Network-Flow-Lemon/lemon/concepts                                                                                                                                   |          7 |      2,019 |      2,400 |        889 |      5,308 |
| main                                                                                                                                                                                         |        137 |     77,667 |     34,644 |     16,646 |    128,957 |
| main/input                                                                                                                                                                                   |          3 |      4,634 |          0 |          0 |      4,634 |
| main/lemon                                                                                                                                                                                   |        113 |     52,000 |     25,300 |     13,452 |     90,752 |
| main/lemon/bits                                                                                                                                                                              |         17 |      3,581 |      1,009 |      1,201 |      5,791 |
| main/lemon/concepts                                                                                                                                                                          |          7 |      2,019 |      2,400 |        889 |      5,308 |
| main/src                                                                                                                                                                                     |         21 |     21,033 |      9,344 |      3,194 |     33,571 |
| main/src/nlohmann                                                                                                                                                                            |          1 |     15,089 |      8,520 |      2,546 |     26,155 |
| pin-connect                                                                                                                                                                                  |          3 |        169 |         16 |         21 |        206 |
| pin-connect/src                                                                                                                                                                              |          3 |        169 |         16 |         21 |        206 |
| python                                                                                                                                                                                       |          1 |        558 |        147 |         61 |        766 |
| sdc_parser                                                                                                                                                                                   |          5 |        736 |        144 |        196 |      1,076 |
| sdc_parser/src                                                                                                                                                                               |          5 |        736 |        144 |        196 |      1,076 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                     | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/Makefile                                                     | Makefile     |          9 |          0 |          4 |         13 |
| /home/huangli/BTDWork/RDL-Router/router-w-heuristic-pin-assignment/solver20211008_3/Min_cost_solver/Min-Cost-Network-Flow-Lemon/MinC.cpp                                                     | C++          |        152 |         49 |         75 |        276 |
