Package-net,p1_name,p2_name,LPD (ns)
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7],0.894484
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6],0.879178
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5],0.884025
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4],0.885075
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3],0.882589
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2],0.879082
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1],0.89066
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0],0.890953
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select,1.47388
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_,0
u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_,0
u_ahb_ram_genblk3_u_fpga_sram_n3,u_core_context/u_ahb_ram_genblk3_u_fpga_sram_n3,u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_n3,1.55576
u_ahb_ram_genblk3_SRAMWDATA[23],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[23],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[23],1.06008
u_ahb_ram_genblk3_SRAMWDATA[22],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[22],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[22],1.11972
u_ahb_ram_genblk3_SRAMWDATA[21],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[21],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[21],1.01133
u_ahb_ram_genblk3_SRAMWDATA[20],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[20],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[20],1.06996
u_ahb_ram_genblk3_SRAMWDATA[19],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[19],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[19],1.08573
u_ahb_ram_genblk3_SRAMWDATA[18],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[18],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[18],1.05752
u_ahb_ram_genblk3_SRAMWDATA[17],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[17],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[17],1.00889
u_ahb_ram_genblk3_SRAMWDATA[16],u_core_context/u_ahb_ram_genblk3_SRAMWDATA[16],u_mem_context1/u_ahb_ram_genblk3_SRAMWDATA[16],1.00202
u_ahb_ram_genblk3_SRAMADDR[11],u_core_context/u_ahb_ram_genblk3_SRAMADDR[11],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[11],1.41226
u_ahb_ram_genblk3_SRAMADDR[10],u_core_context/u_ahb_ram_genblk3_SRAMADDR[10],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[10],1.50064
u_ahb_ram_genblk3_SRAMADDR[9],u_core_context/u_ahb_ram_genblk3_SRAMADDR[9],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[9],1.45706
u_ahb_ram_genblk3_SRAMADDR[8],u_core_context/u_ahb_ram_genblk3_SRAMADDR[8],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[8],1.57541
u_ahb_ram_genblk3_SRAMADDR[7],u_core_context/u_ahb_ram_genblk3_SRAMADDR[7],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[7],1.71575
u_ahb_ram_genblk3_SRAMADDR[6],u_core_context/u_ahb_ram_genblk3_SRAMADDR[6],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[6],1.73813
u_ahb_ram_genblk3_SRAMADDR[5],u_core_context/u_ahb_ram_genblk3_SRAMADDR[5],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[5],1.56466
u_ahb_ram_genblk3_SRAMADDR[4],u_core_context/u_ahb_ram_genblk3_SRAMADDR[4],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[4],1.60261
u_ahb_ram_genblk3_SRAMADDR[3],u_core_context/u_ahb_ram_genblk3_SRAMADDR[3],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[3],1.41345
u_ahb_ram_genblk3_SRAMADDR[2],u_core_context/u_ahb_ram_genblk3_SRAMADDR[2],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[2],1.70163
u_ahb_ram_genblk3_SRAMADDR[1],u_core_context/u_ahb_ram_genblk3_SRAMADDR[1],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[1],1.66318
u_ahb_ram_genblk3_SRAMADDR[0],u_core_context/u_ahb_ram_genblk3_SRAMADDR[0],u_mem_context1/u_ahb_ram_genblk3_SRAMADDR[0],1.58294
gated_hclk,u_mem_context2/gated_hclk,u_mem_context1/gated_hclk,-1
