[parsing file]../input/u_core_context.sdc
num_net: 0
[parsing file]../input/u_mem_context2.sdc
num_net: 0
[parsing file]../input/u_mem_context1.sdc
num_net: 0
[num net] 89
net#0 IO/XTAL1: 0
Signal0 u_core_context/XTAL1: -1

net#1 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[7]: 0.275615
Signal1 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[7]: 0.879943

net#2 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[6]: 0.277945
Signal2 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[6]: 0.893332

net#3 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[5]: 0.277724
Signal3 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[5]: 0.882538

net#4 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[4]: 0.335635
Signal4 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[4]: 0.885043

net#5 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[3]: 0.294328
Signal5 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[3]: 0.899878

net#6 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[2]: 0.295234
Signal6 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[2]: 0.890246

net#7 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[1]: 0.289351
Signal7 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[1]: 0.897781

net#8 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[0]: 0.294793
Signal8 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_data_out[0]: 0.893867

net#9 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_chip_select: -0.0767015
Signal9 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3_chip_select: 1.53183

net#10 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic1_: 0
Signal10 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic1_: 0

net#11 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic0_: 0
Signal11 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_sBRAM3__Logic0_: 0

net#12 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7]: 0.312927
Signal12 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[7]: 0.894484

net#13 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6]: 0.283133
Signal13 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[6]: 0.879178

net#14 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5]: 0.290254
Signal14 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[5]: 0.884025

net#15 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4]: 0.281932
Signal15 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[4]: 0.885075

net#16 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3]: 0.281273
Signal16 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[3]: 0.882589

net#17 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2]: 0.318453
Signal17 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[2]: 0.879082

net#18 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1]: 0.292121
Signal18 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[1]: 0.89066

net#19 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0]: 0.281715
Signal19 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_data_out[0]: 0.890953

net#20 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select: -0.0862526
Signal20 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2_chip_select: 1.47388

net#21 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_: 0
Signal21 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic1_: 0

net#22 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_: 0
Signal22 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_sBRAM2__Logic0_: 0

net#23 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_n3: 0.0819227
Signal23 u_mem_context1/u_ahb_ram_genblk3_u_fpga_sram_n3: 1.55576

net#24 u_core_context/u_ahb_ram_genblk3_u_fpga_sram_n2: 0.106004
Signal24 u_mem_context2/u_ahb_ram_genblk3_u_fpga_sram_n2: 1.52486

net#25 u_core_context/u_ahb_ram_genblk3_SRAMWDATA[31]: 0.103657
Signal25 u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[31]: 1.10648

net#26 u_core_context/u_ahb_ram_genblk3_SRAMWDATA[30]: 0.114527
Signal26 u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[30]: 1.22229

net#27 u_core_context/u_ahb_ram_genblk3_SRAMWDATA[29]: 0.105903
Signal27 u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[29]: 1.1177

net#28 u_core_context/u_ahb_ram_genblk3_SRAMWDATA[28]: 0.144663
Signal28 u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[28]: 1.3128

net#29 u_core_context/u_ahb_ram_genblk3_SRAMWDATA[27]: 0.134515
Signal29 u_mem_context2/u_ahb_ram_genblk3_SRAMWDATA[27]: 1.0738

